observation_id,journey_distance_km,traffic_index,time_of_day_hours,weather_score,road_slope_pct,road_type,previous_journey_time_min,traffic_proxy,distance_proxy,average_speed_kmh,driver_experience_years,passenger_rating,random_noise_feature,eta_minutes
1,0.912453494888808,32.692134110371974,23.806305821231817,0.41570255284638713,-1.6435809306929743,express,7.579102507293662,36.35013702766607,1.1849790473704642,42.07114155597953,8.221764178879713,4.089854034112957,0.48541241875264324,19.055873259416572
2,3.7093930096172563,31.025860150390855,4.172940961571795,0.24127706970371504,6.806119793752148,local,23.639124624732503,24.570914535407397,4.325192363351749,41.12284763708398,2.054173094795073,4.406974887660774,0.1473823771780872,45.22944685427301
3,2.456201123713667,28.9669185678135,22.448368687923065,0.43021934398661515,-2.200215989500279,arterial,22.799997223236716,25.555933887484333,1.9613182697672669,46.30433817135822,8.774971213204287,5.0,-0.05962907594450082,32.62048374163011
4,2.2125670558789965,44.43812351579279,9.637702891279122,0.25625810730121495,-1.9914455678068128,local,33.476701781506996,36.23103484381629,2.4727794239980283,35.90619614816356,14.183494714389813,4.202131563552275,-1.8518550486073069,31.460689508208308
5,4.013242779281222,36.169021569298145,11.231831193055068,0.30198495609588133,3.3575594590731095,arterial,31.978816031073762,28.056394766772375,3.824364325760918,48.682406000874415,7.822053647750693,4.41068957521048,-0.3750101390841253,42.474097031298186
6,3.0918414666778546,17.692686753481517,12.686445208559494,0.37048007714954817,0.2744492649898014,express,17.318943893307768,16.66398274838546,2.269616124587415,49.5808688766203,14.497539963089709,3.643191826122509,-0.22590103098916242,25.358366564583008
7,3.150868217103037,63.808994873303405,6.368797186405916,0.17330840881316995,2.7234384466391557,local,32.857805712411455,48.74794786911341,3.842260594368099,32.72343841549477,13.632699964221853,5.0,-0.5482402015131969,45.86440243299094
8,2.9005933458925806,42.77850204708339,23.127778622659033,0.4653552553814999,3.507684777480794,local,23.802725495007884,34.714788184916856,3.179484247842435,37.01773324556761,11.988374166737666,3.8791606448014577,-1.9187384268936865,40.283474503561585
9,4.010951266274763,26.36708758015035,21.875692925634947,0.12572964419247765,8.22338408781442,local,22.510559346082868,16.080167946386638,3.2622161944379515,44.30618777440045,9.316830113435474,4.320857082831025,0.5847365333247866,39.70934004151874
10,1.9503800429355231,30.35484216215535,23.349722405072704,0.13674813473660932,3.5180360494824328,local,31.132655230836576,29.92515193877978,2.6382170604324346,39.37232681116921,13.269829083704556,4.308106104203909,0.8657624815880115,18.372584291111124
11,4.901653721293351,38.401337044874616,23.92606973302855,0.4669996451807609,-0.1648700645546053,arterial,36.08268978819304,34.31580333001734,3.7463526291055897,44.52471587699602,8.54726498662017,4.23840224490681,-0.7946445606944802,43.307162590801354
12,1.6085809257759496,44.9467771671577,16.07520228434333,0.47414615271574057,4.367707853651473,express,25.36340022035774,35.18609517038957,1.4245754228902487,37.35628818060543,3.504419047185242,4.004558844943461,-0.18597160813029445,34.221943921223954
13,1.4562208604909785,41.21604333418631,10.840451899337872,0.5633076548532749,-0.9111397002873929,arterial,22.97227994415633,35.29318805341513,0.9672197067969883,43.107258737061805,13.915102385293618,4.3085968102529755,-0.4969115415060088,33.3128673074857
14,2.9871065314575636,13.629695787573969,20.417613635911316,0.595303803002208,5.196044335316143,local,23.15955335679411,10.040164629003433,3.2894454695278,51.870666527572894,7.781753260114521,4.9908063638446345,-0.48719226644026625,26.607391357656798
15,1.5007565657802175,35.78479183802108,0.5713170680721253,0.47098365266936604,2.2261977184923936,arterial,17.77767185228428,38.424339256326355,0.9669342247756896,47.18658407078621,13.662347078983437,5.0,0.49316588560677127,17.7061573062423
16,2.2521241958936122,14.687864076224106,20.025697073124082,0.3031407467524795,3.401903356549319,express,18.328419691194718,9.397598257386488,2.6336982698730864,50.994749671607366,6.200615061239675,4.121185706734076,0.5173189519571325,29.471841169529036
